kanji,kana,prefecture,level,description,hoge,fuga,hint
神居古潭,かむいこたん,北海道,3,石狩川の渓谷。漫画「うしおととら」でフューチャー。,2017-02-02 14:44:53.264362,2017-02-02 15:16:59.117841,1
岡豊,おこう,高知県,3,南国市,2017-02-03 03:29:54.162774,2017-02-03 03:29:54.162774,1
磐城常葉,いわきときわ,福島県,2,磐越東（ばんえつとう）線,2017-02-02 14:44:54.22339,2017-02-05 23:06:49.449152,6
東平安名崎,あがりへんなざき,沖縄県,5,断崖が雄大。,2017-02-02 14:44:58.169883,2017-02-03 03:37:24.514636,1
彼杵,そのぎ,長崎県,4,大村線,2017-02-02 14:44:57.960394,2017-02-14 14:10:19.506154,1
慶良島,けらま,沖縄県,2,サンゴ礁を有する諸島。,2017-02-02 14:44:58.17728,2017-02-03 08:37:08.659202,1
向瀬上,むかいせのうえ,福島県,2,阿武隈（あぶくま）急行,2017-02-02 14:44:54.251169,2017-02-05 23:09:22.745792,1
舞木,もうぎ,福島県,2,磐越東線,2017-02-02 14:44:54.260093,2017-02-05 23:09:48.634813,1
潮来,いたこ,茨城県,5,水郷（すいごう）観光の中心地。,2017-02-02 14:44:54.263971,2017-02-05 23:09:58.777268,1
騰波ノ江,とばのえ,茨城県,2,関東鉄道常総線,2017-02-02 14:44:54.280719,2017-02-05 23:10:14.207925,1
中舟生,なかふにゅう,茨城県,3,水郡（すいぐん）線,2017-02-02 14:44:54.284396,2017-02-05 23:10:36.409632,3
常陸大子,ひたちだいご,茨城県,2,水郡線,2017-02-02 14:44:54.290506,2017-02-05 23:10:52.453237,1
八木蒔,やきまき,茨城県,2,鹿島鉄道,2017-02-02 14:44:54.298515,2017-02-05 23:11:06.593956,1
五十里湖,いかりこ,栃木県,4,人造湖。紅葉の名所。,2017-02-02 14:44:54.302778,2017-02-05 23:12:03.165261,1
竜頭滝,りゅうずのたき,栃木県,2,日光戦場ヶ原の滝。,2017-02-02 14:44:54.31078,2017-02-05 23:12:16.607379,1
東一口,ひがしいもあらい,京都府,5,入口が一つだったことに由来するとされる。,2017-02-02 14:50:12.242868,2017-02-08 10:47:44.435116,4
豆酘崎,つつざき,長崎県,4,国定公園内の崎。,2017-02-02 14:44:57.955798,2017-02-14 14:09:45.952134,1
角力灘,すもうなだ,長崎県,5,海食された島が点在。,2017-02-02 14:44:57.951783,2017-02-14 14:10:08.492561,1
早岐,はいき,長崎県,3,佐世保線,2017-02-02 14:44:57.966596,2017-02-14 14:10:28.729577,1
御厨,みくりや,長崎県,4,松浦鉄道,2017-02-02 14:44:57.979343,2017-02-14 14:11:24.085903,1
南風崎,はえのさき,長崎県,5,大村線,2017-02-02 14:44:57.970289,2017-02-14 14:11:02.147391,1
球磨川,くまがわ,熊本県,2,日本三大急流のひとつ。,2017-02-02 14:44:57.983425,2017-02-14 14:11:39.35548,1
大畑,おこば,熊本県,3,肥薩（ひさつ）線,2017-02-02 14:44:58.004197,2017-02-14 14:11:57.058741,1
折生迫,おりゅうざこ,宮崎県,3,日南（にちなん）線,2017-02-02 14:44:58.110306,2017-02-14 14:12:40.378587,1
県,あがた,栃木県,3,東武伊勢崎（いせさき）線,2017-02-02 14:44:54.318634,2017-02-05 23:12:26.55876,1
碓氷峠,うすいとうげ,群馬県,3,中山道（なかせんどう）第一の険所。,2017-02-02 14:44:54.344144,2017-02-05 23:13:34.30926,1
大洞渓谷,おおぼらけいこく,埼玉県,2,奥秩父の渓谷。,2017-02-02 14:44:54.395656,2017-02-05 23:16:33.189763,1
波久礼,はぐれ,埼玉県,3,秩父鉄道,2017-02-02 14:44:54.414552,2017-02-05 23:18:36.029363,2
安食,あじき,千葉県,3,成田線,2017-02-02 14:44:54.434648,2017-02-05 23:19:37.994972,1
国府台,こうのだい,千葉県,3,京成本線,2017-02-02 14:44:54.455772,2017-02-05 23:21:49.309067,1
飯山満,はさま,千葉県,4,東葉（とうよう）高速鉄道,2017-02-02 14:44:54.504145,2017-02-05 23:23:06.875244,1
板荷,いたが,栃木県,2,東武日光線,2017-02-02 14:44:54.326243,2017-02-05 23:12:39.139397,3
四万,しま,群馬県,2,上毛（じょうもう）三名湯。,2017-02-02 14:44:54.359768,2017-02-05 23:14:33.313383,1
越生,おごせ,埼玉県,3,梅林の地。,2017-02-02 14:44:54.399541,2017-02-05 23:17:30.815365,1
毛呂,もろ,埼玉県,3,八高（はちこう）線,2017-02-02 14:44:54.41805,2017-02-05 23:18:45.624922,1
下総松崎,しもうさまんざき,千葉県,4,成田線,2017-02-02 14:44:54.474144,2017-02-05 23:22:03.499304,6
太海,ふとみ,千葉県,2,内房（うちぼう）線,2017-02-02 14:44:54.51501,2017-02-05 23:23:18.87316,3
飯給,いたぶ,千葉県,4,小湊（こみなと）鉄道,2017-02-02 14:44:54.438613,2017-02-08 07:37:40.565422,3
市塙,いちはな,栃木県,3,真岡（もおか）鉄道,2017-02-02 14:44:54.330034,2017-02-05 23:12:51.262223,4
湯檜曽,ゆびそ,群馬県,2,水上（みなかみ）温泉郷の温泉。,2017-02-02 14:44:54.368336,2017-02-05 23:14:46.573637,2
長瀞,ながとろ,埼玉県,4,荒川中流の渓谷。,2017-02-02 14:44:54.403523,2017-02-05 23:17:43.583913,3
鹿野山,かのうざん,千葉県,3,国定公園内の山。,2017-02-02 14:44:54.42314,2017-02-05 23:19:00.61551,3
梅郷,うめさと,千葉県,1,東武野田線,2017-02-02 14:44:54.442911,2017-02-05 23:20:09.106422,3
土気,とけ,千葉県,3,外房（そとぼう）線,2017-02-02 14:44:54.488415,2017-02-05 23:22:14.448599,1
小塙,こばな,栃木県,3,烏山（からすやま）線,2017-02-02 14:44:54.335769,2017-02-05 23:13:03.640455,3
神戸,ごうど,群馬県,2,わたらせ渓谷鐵道。「こうべ」ではない。,2017-02-02 14:44:54.383058,2017-02-05 23:15:08.880771,1
男衾,おぶすま,埼玉県,3,東武東上線,2017-02-02 14:44:54.407598,2017-02-05 23:17:58.870791,2
大房岬,たいぶさみさき,千葉県,3,奇岩と白砂の海岸。,2017-02-02 14:44:54.427398,2017-02-05 23:19:13.578061,1
木下,きおろし,千葉県,3,成田線,2017-02-02 14:44:54.447341,2017-02-05 23:20:20.722353,3
東浪見,とらみ,千葉県,3,外房線,2017-02-02 14:44:54.492677,2017-02-05 23:22:28.637295,2
実籾,みもみ,千葉県,2,京成本線,2017-02-02 14:44:54.52532,2017-02-05 23:23:42.582624,1
楡木,にれぎ,栃木県,3,東武日光線,2017-02-02 14:44:54.340169,2017-02-05 23:13:16.38071,1
湯檜曽,ゆびそ,群馬県,2,（ダブってるので後で消すこと！！）,2017-02-02 14:44:54.391241,2017-02-05 23:16:11.106104,2
高麗,こま,埼玉県,2,西武秩父（ちちぶ）線,2017-02-02 14:44:54.411064,2017-02-05 23:18:09.217543,1
求名,ぐみょう,千葉県,3,東金（とうがね）線,2017-02-02 14:44:54.451622,2017-02-05 23:20:34.092821,1
西登戸,にしのぶと,千葉県,3,京成千葉線,2017-02-02 14:44:54.497704,2017-02-05 23:22:57.000851,4
本八幡,もとやわた,千葉県,2,総武線,2017-02-02 14:44:54.561413,2017-02-05 23:24:04.369471,1
四尾連湖,しびれこ,山梨県,2,大畠山（おおはたやま）山腹の湖。,2017-02-02 14:44:55.287147,2017-02-08 06:29:07.816439,1
南小谷,みなみおたり,長野県,3,（かぶってるから、あとでけすよー！）,2017-02-02 14:44:55.526103,2017-02-08 06:35:40.09306,4
海鹿島,あしかじま,千葉県,3,銚子（ちょうし）電鉄,2017-02-02 14:44:54.430978,2017-02-08 07:37:10.63607,1
平城山,ならやま,奈良県,5,関西本線,2017-02-02 14:44:56.834949,2017-02-08 09:58:51.238892,1
特牛,こっとい,山口県,5,山陰本線,2017-02-02 14:44:57.508824,2017-02-08 09:59:13.737098,1
車折,くるまざき,京都府,2,京福嵐山（けいふくあらしやま）線,2017-02-02 14:44:56.223605,2017-02-14 13:15:08.981291,1
浦富,うらどめ,鳥取県,2,洞穴が特徴の海岸。,2017-02-02 14:44:56.989238,2017-02-14 13:25:34.339331,1
狩留家,かるが,広島県,2,芸備（げいび）線,2017-02-02 14:44:57.332822,2017-02-14 13:54:47.847794,1
三苫,みとま,福岡県,2,西鉄宮地岳（みやじだけ）線,2017-02-02 14:44:57.897649,2017-02-14 14:08:11.786639,1
